name,country,region
A/Lesser_Scaup/Florida/USDA-005079-001/2022|2.3.4.4b|2022-02-16,USA,North America
A/Lesser_Scaup/Florida/USDA-005590-003/2022|2.3.4.4b|2022-02-18,USA,North America
A/Lesser_Scaup/Florida/USDA-005890-001/2022|2.3.4.4b|2022-02-13,USA,North America
A/Lesser_Scaup/Florida/USDA-006133-001/2022|2.3.4.4b|2022-02-24,USA,North America
A/Lesser_Scaup/Georgia/USDA-006543-001/2022|2.3.4.4b|2022-02-24,USA,North America
A/Lesser_Scaup/Georgia/USDA-006543-002/2022|2.3.4.4b|2022-02-24,USA,North America
A/Lesser_Scaup/Georgia/USDA-006543-004/2022|2.3.4.4b|2022-02-24,USA,North America
A/Lesser_Scaup/Georgia/USDA-006543-005/2022|2.3.4.4b|2022-02-24,USA,North America
A/Lesser_Scaup/Georgia/USDA-006543-006/2022|2.3.4.4b|2022-02-24,USA,North America
A/Lesser_Scaup/Maryland/USDA-003098-003/2022|2.3.4.4b|2022-01-23,USA,North America
A/Lesser_scaup/MD/-LC-EESC-024/2022|2.3.4.4b|2022-01-23,USA,North America
A/Mallard/Connecticut/USDA-003935-001/2022|2.3.4.4b|2022-02-03,USA,North America
A/Mallard/Connecticut/USDA-003935-013/2022|2.3.4.4b|2022-02-03,USA,North America
A/Mallard/Connecticut/USDA-003935-014/2022|2.3.4.4b|2022-02-03,USA,North America
A/Mallard/Connecticut/USDA-003935-022/2022|2.3.4.4b|2022-02-03,USA,North America
A/Mallard/Connecticut/USDA-003935-024/2022|2.3.4.4b|2022-02-03,USA,North America
A/Mallard/Kentucky/USDA-005153-004/2022|2.3.4.4b|2022-02-07,USA,North America
A/Mallard/NS/FAV-0094-78/2022|2.3.4.4b|2022-01-27,Canada,North America
A/Mallard/New_Hampshire/USDA-003359-006/2022|2.3.4.4b|2022-01-26,USA,North America
A/Mallard/New_Hampshire/USDA-003359-025/2022|2.3.4.4b|2022-01-26,USA,North America
A/Mallard/New_Hampshire/USDA-003359-036/2022|2.3.4.4b|2022-01-26,USA,North America
A/Mallard/New_Hampshire/USDA-003417-032/2022|2.3.4.4b|2022-01-26,USA,North America
A/Mallard/New_Hampshire/USDA-003417-039/2022|2.3.4.4b|2022-01-26,USA,North America
A/Mallard/New_Hampshire/USDA-003417-043/2022|2.3.4.4b|2022-01-26,USA,North America
